title,rating,review
great for a gift,4.0,"more like a cookie, so not good to dip in coffee"
yum,4.0,expensive but good
Not bad but.....,4.0,A nice box for presentation. The flavors were a little bland for our taste and seemed to be a little stale. It would be giftable but I would only recommend doing so during the winter months. It was shipped with no freezer packs so things were a little melted.
Perfect gift!,5.0,"This gift was perfect for my sister (who lives far away) in celebration of her being healed from cancer. She is very grateful and biscotti is her ""luxury indulgence""."
Even though it wasn’t that great - the seller made it right,4.0,It’s very taste dependent.
fresh,4.0,The main thing to understand is that these cookies are sweet. If you like sweet then these are for you.
Great gift,5.0,My friend who received this says it is delicious.
These are not as expected,3.0,"The cookie/biscuit is more like a shortbread than an actual biscotti. They are all the same flavored cookie/biscuit with a variety of toppings. I was hoping for a variety of cookie/biscuit flavors. Ultimately not great, and they do not work well with a hot beverage like tea/ coffee/ hot chocolate. I was disappointed."
My package was damaged and can't return or replace,5.0,"This was a gift besides, getting a cake, for my sisters Birthday tomorrow. I guess I will have to get a cake. The birds and squirrels will have a nice expensive treat. Not very happy......grrrr

UPDATE!!!!
My biscotti was replaced and Barnett was very easy to work with. My sister was able to enjoy them with her evening tea"
Delicious,5.0,I send these all the time! Everyone is so happy with them
Is this really biscott?,3.0,"It's delicious, but seems more like an English tea biscuit than Italian biscotti. Or maybe Danish cookies. But not the texture of biscotti like I am.accustomed to."
Wonderful,5.0,Purchased a a gift for my mom.She absolutely love it.
They were so wonderful.,5.0,They were so wonderful. Everyone loved them. Great gift
Great Gift for Holiday Dinner Hostess,5.0,"Fresh, delicious chocolate varieties, was a huge hit at dinner. Great alternative to all the pies!"
Very nice,5.0,Exactly what I was hoping for
Buen producto,5.0,Ecxelente sabor
Light and delicious,5.0,"First time buying these to see if they were actually giftable. They are. Very elegant presentation and they taste great. They are light and crumbly, not crunchy. I like them."
Well packed,5.0,Fresh dunking and well presented
delicios!,5.0,Delicious!
Best present ever,5.0,"My son and daughter-in-law gave this to me a couple of years ago and I loved it so much I've given it as a gift a number of times. Even gave it to my husband as a gift, and lucky me he shared!"
Their small. They look big in picture but their not,5.0,Gift for someone.
Only if you serve when you open,3.0,Not very fresh. Stale within 2 days. Small and all tasted alike.
Delicious!!!!,5.0,"Purchased this for a gift for one of those people who has pretty much all she needs.
She opened it and was so surprised at how beautiful everything looked. As she was tasting, I was nervous since I never tasted them, she loved them!!!!!
Highly recommend!!"
Cookies are delicious,5.0,This was for a gift that was well appreciated
so delish,5.0,these are great and a perfect gift!
Items damaged,4.0,Items damaged
"Not quite the consistency of true biscotti, but they taste good and my wife loved them.",4.0,"I ordered these as a Mother's Day gift for a wife who has EVERYTHING. She loves biscotti, especially chocolate covered. These came nicely packaged and the toppings looked great. My wife loved them. When we tasted them, they were not hard like true biscotti; they had the consistency of a shortbread cookie. Nevertheless, they tasted great and my wife was thrilled. They were unique and she appreciated that I put some thought into her gift; not the same old, same old chocolates."
Nice presentation..,5.0,"Great appearance and delicious product..given as a gift and well
received..yum!!"
Overpriced,3.0,"I felt the cookies were tasty, but overpriced. It made a nice gift to give someone but I didn’t think they were worth it."
Very Tasty!!,5.0,"Very tasty, Delivered with all Biscottis intact, But...must have been packed on a Monday, because one was missing...Oh well"
Birthday gift,5.0,It was a gift. The person getting it said it got there on time and the family liked it.
Broken & more cake/cookie vs crisp biscotti,3.0,"Almost 25% broken. Toppings not thick enough to have real flavor, which seems to be flavor for biscotti and the actual biscotti us bland. B No crispness to expectations of biscotti which were all one note the same. They were more cake/cookie like vs. having crisp snap of a biscotti."
It was nice to send someone,4.0,we gave it for a gift
Pretty s d sweet.,3.0,They look beautiful in the box. Taste seemed dry and without flavor on the cookie part. Not solid like most biscotti. Too crumbly for dipping. Topping has different flavors. Less topping would be better.
soft and amazing taste biscotti,5.0,"My wife and I used to enjoy biscotti with daily morning coffee but we stopped having them because the ones that we had were too hard. The cookie part was so hard that we had to dip it into our coffee to soften it up but this became more of hassle than enjoying our morning coffee so we stopping eating all together.

One of our friends recommended this Barnett's chocolate biscotti because they told us it's very soft.
We were both drooling when we opened the box and could not resist all the chocolates and nuts covered on the biscotti but what really impressed us was the softness of the biscotti cookie.

The biscotti was very soft and chewy. It literally melted in my mouth while having it with my morning coffee. My wife and I thoroughly enjoyed every one of them and we will be ordering some more for sure! Simply amazing."
Good gift as long as they get properly shipped,5.0,"This looked really cute to give as a gift to my dad that loves milk and cookies. Unfortunately, this was shipped in a thin plastic bag with no bubble wrap or anything extra so it offered zero protection against making the trip to my door. Delivered with a few of the cookies melted that later hardened again against the paper covering, two of the cookies are broken, the re-hardened chocolate is holding one of them back together. Awful way to present a gift, I expected more especially being considered as gourmet. Find gourmet cookies or candies to buy in a store instead so you can actually purchase them in great condition and also since this item is not returnable, wasted money.
---------------
Updated review: The company reached out to me, refunded and offered to replace the box with better shipping. Last year for Christmas I got their chocolate covered sandwich cookies as a gift which were great, ordering during the summer and biscotti being a bit more fragile you can see would need more prep to ship. Although I had already gifted the damaged box of cookies, the box itself that they were stored in was cute and the biscotti did smell great. I appreciate Barnett's for going above and beyond to fix the error, good customer service so you can order with confidence."
Biscotti,3.0,NOT WORTH THE MONEY
Really nice assortment and flavors,4.0,"We really liked these - it was a bit of an unusual gift. The assortment and the flavors were terrific, but they dry out very quickly, so you better plan to eat them quickly."
Looks Delicious....NOT!,2.0,"Definitely one of those purchases where I wish I had heeded to warning of previous buyers. This product showcases nicely, and that's where the enjoyment ends. Everything tasted bland, absolutely flavorless. Definitely not worth the price. I'm sure more people will buy these cookies, thinking they can't possibly be that bad, and like those of us before them, many will be disappointed."
Tiny,5.0,"Tiny cookies, 3 bites and gone but good."
Was a gift. They loved them,5.0,Was a gift they raved about how delicious they were
