title,rating,review
Was a very nice gift.,5.0,Was a very nice gift for our friend. He totally enjoyed it.
Great value,5.0,Great gift and flavor
Very tasty and cute chocolates,5.0,"I was surprised by these chocolates, because they are different than a lot of others I’ve tried. The chocolate is rich in the centers are all very good even the ones I wouldn’t normally care for our good. The flavors are not overwhelming also, there are a lot of mostly chocolate pieces that are either ganache or cream as well as some cordial and fruit centers. There are also quite a few with different forms of nut inside each piece is in a very cute shape, not just round or square. There are hearts and stars and a lot of other intricate designs."
Pricey,4.0,It’s too expensive for such a small box. I expected it to be a bit bigger for the price.
Yummy,5.0,I bought this as a gift for a sick friend. She loved it and made me try one. It was great. It is a nice size gift and quite delicious.
Not the same,2.0,"I love Godiva chocolates, but they did not send what they pictured was in the box. Only two milk choc, the rest dark. Won’t order from them again. I order the whole box just to get the white chocolate raspberry and it was not in it."
Candy,4.0,Delicious
5 star product but not 36 pieces,4.0,This product did not include 36's pieces. It was 1 row short.
"Still Good, But...",4.0,"Godiva is abandoning retail outlets to distribute online and through chain stores.

The quality is still good, but not quite what it once was."
Missing advertised chocolates,1.0,"This set did not contain the white chocolate raspberry star, which is advertised on the back of the product as being included. Very disappointed as that is my favorite one. There are also a lot of duplicates (8x2), not including chocolates that are meant to come with multiple types. There are way less fruit flavors than I expected - the only ones included in this 36 count set are the cherry cordial and an orange ganache, which was as well extremely disappointing. I used to really like this brand, but you can tell they are cheaping out on ingredients. As much as I love those fruit chocolates I'm not risking purchasing another box just to find out it's all ganaches and caramels again. Also, the white chocolate ganaches are bad - extremely bizarre texture. Godiva has changed, unfortunately."
Beautiful assortment!,5.0,There were so many different flavors! You’ll definitely find one you love. I got this as a Valentines Day gift and it was the best idea ever. Beware if you can’t eat a lot of sweets maybe get a smaller pack.
Love this Godiva Assortment,5.0,Fun we can still get Godiva through Amazon since the retail stores are gone in my area. Great fun assortment box
High quality chocolate!,5.0,Purchased it as a gift for my daughter. They are a little pricey but she loved them. She had a big smile. They are velvety smooth and very delicious. Great quality and packaging was fancy.
Can’t Go Wrong with Godiva,5.0,Beautifully packaged. Small size makes these boxes of chocolates perfect as favors or to tuck in with other gifts.
CAME FRESH!,5.0,"I was hesitant to buy because I see a lot of people who say the chocolate was old, melted, chalky, etc. But my box came perfectly packaged and sealed. I originally bought them as a gift for somebody but I didn't get them in time (due to my own procrastination). So, I kept them for myself. I am on a diet, so I allotted myself one chocolate per day. They were so good, I almost didn't make it. We have a Godiva shop here where I live. Unfortunately they closed due to COVID, but they were just as fresh as when you buy them in the shop!"
Came in fresh and complete,5.0,This product is a bit iffy depending on the time of year that it comes. This box was perfect and all the chocolates fresh and delicious. I recommend this seller.
Amazon is the Best,5.0,"As usual,Amazon came through for Valentine’s Day! After Fooling with Godiva for days on availability, price, shipping, peace of mind and meeting a deadline, Amazon came through on my doorstep! Prriod"
Is getting expensive,5.0,I used the product for a gift but the person who I give the chocolates said it was not fresh I reply with chocolates dont age.
"Wonderful, but WAY too expensive.",5.0,"I love this chocolate. But, it is very overpriced. It was packaged extremely well."
Decent chocolate but overpriced,3.0,"Overall these chocolates are decent, they taste flavorful and look delicate, the packaging looks fancy and it’s a great gift to bring for a party. However, comparing to other chocolates, this is a bit overpriced. There are not many pieces and they don’t taste as amazing as other chocolates with similar price range."
Major is dark chocolate,1.0,"I do not like dark chocolate at all. I was looking forward to the milk and the white chocolates and giving my husband the dark chocolates. This is not a variety at all. Mostly dark, a few milk and no whites. I was really looking forward to the white starfish chocolate. If you love dark chocolate this box is for you. $22 for a few milk chocolates and the rest all darks wasn't worth it for me."
presentation & taste,5.0,"I liked the product, it makes lovely little gifts"
That it is very good,5.0,I like the taste of it smooth and creamy
Very good!,5.0,Delicious!
Great,5.0,It's Godiva. What's not to like?
Delicious,5.0,"One if the best xmas gifts I gave this year, and got to help eat! The chocolates were fresh and fantastic."
This Godiva assortment was less than I expect from the Godiva brand and price.,3.0,Did not include fruit creme chocolates. These chocolates seem to be lesser in quality than a few years ago. I will probably not buy again. Definately not this assortment.
Refridgerate,5.0,Very rich flavors best ever
Disappointed,3.0,I was sending this as a gift and it says its 19 pieces of chocolate but there was only 16 . Not as advertised beware if your going to buy as a gift.
A delicious gift,5.0,More yummies for Christmas and my family said it was all so good and tasted wonderful.
really good chocalate,5.0,"it was really good chocalate, we enjoyed eating it very much."
Always a gift that means you care,5.0,I have a friend who introduced me to Godiva and I now gift them to close friends for special reasons.
Excellent,5.0,Perfect gift
Good chocolate,5.0,"It was a gift , they loved it ."
"Fast delivery, great for surprise gift!",5.0,"My girlfriend was being depressed for a while, and I sent it as a surprise. It was delivered within two days and she really loved it"
Daughter loved,5.0,Expensive but daughter loved them and u can buy with EBT
Delicious,5.0,Gifted them. Recipients loved them
A delicious gift for friends with a sweet tooth.,5.0,"Fresh, delicious box of candy I was told by recipient. Loved the candy."
Perfect delivery manners,5.0,"Godiva was sent as a ""sorry I can't be there for Thanksgiving gift."" Initial delivery was promised for Tuesday Nov 24, which was okay. They arrived Friday! Recipient was at work during delivery time so the Prime delivery guy put it behind her screen with the plain back of the package facing out. Whew. :) Also... she loves the chocolate! Exactly as pictured, no melting or any other possible disaster."
"As always, great gift!",5.0,Perfect gift!
Best Chocolates ever!!!,5.0,I suggest u give this as a 🎁 gift
Flavor,5.0,Very good quality chocolate and packaged festively
Good,5.0,Good
Excellent chocolates,5.0,I enjoyed the chocolates
Perfect!,5.0,Loved them
Era lo único que estaba para el día siguiente dar de regalo,5.0,Debería haber más cosas para el día siguiente
"Chocolate melted, not a great gift",2.0,"I should have known better than to order chocolate for delivery in Florida. This was also a birthday gift. When the recipients opened it I was there, it was embarrassing to say the least. Not happy for the price it cost. Should have just stop by Walmart instead."
"On time, perfect!",5.0,Perfect product for far away family.
An amazing gift to receive,5.0,A surprise thank you gift
Just chocolate,2.0,I am very surprised theses are just chocolate they all taste basically the same to me. Very expensive and very disappointed. They were fresh and shipped in a refrigerated container. My Lindt truffles were very much cheaper and very much more flavorable for a 1/4 the cost. I would never buy or gift these again.
The Diva gets Godiva for Breakfast!,5.0,Great gift! Arrived late at night and was brought in for breakfast! Didn’t freeze and provided a welcome treat for my 15 year old granddaughter who refused to share with rest of the family! LOL
Cheap amount of candy for price,1.0,Cheap candy will never purchase again!!!!
Melted,1.0,"All the chocolates were melted and apparently this isn’t returnable or exchangeable.
Disappointed."
Disappointed,1.0,Very very small box. Disappointed with size.
EXPENSIVE,4.0,EXPENSIVE
Delicious,5.0,"I haven't tried them but my wife said ""That's some very good tasting chocolate"" so I guess that's that."
Gifts for loved ones,5.0,This was my gift to my children and they were happily received. Packaging was nice too.
Beautiful presetation,5.0,It was a present and you can never go wrong with Godiva.
Always the best in chocolates.,5.0,Excellent candies as always from this company. A bit expensive but worth the money.
Tiny Box,3.0,"I guess I should have looked at the dimensions, but the Box is very small. For almost $40 bucks you think you would get a decent sized assortment, but no dice."
You won’t go wrong,5.0,Mother’s Day gift for my wife she was delighted
Great chocolate!,5.0,This was a gift for my Mom. She loved it.
Excellent,5.0,"Top quality, packaged in cooler with ice pack , excellent"
Very good candy,5.0,Product arrived in perfect condition and was delicious
Sooooo good,5.0,"It’s Godiva, it’s good. ‘Nough said."
Great gift,5.0,A real winner for Valentines Day!
Small,3.0,It was very small not what I was expecting for $40 and 19ct
Gourmet chocolate!!,5.0,Excellent chocolate!!
A sweet treat for my son.,5.0,Candy is always good.
Delicious,5.0,Just as described
Great,5.0,Chocolate and the best....
Bad chocolate,1.0,Do not buy bad chocolate I purchased this product for Valentine’s Day gift was extremely disappointing not only was the box extremely small for 30 dollars but when my wife opened all the chocolate was bad it looked as it had been melted it was white and nasty my wife was extremely disappointed with Amazon these items are non returnable so it’s a waste of money do not buy
Inedible,1.0,"This product arrived damaged. Melted, chalky and some debris mixed with chocolates. Now I am told that it is unreturnable. That is a joke, should have just torn $50.00 up. I will never buy from Godiva again."
Horrible experience with seller,1.0,Chocolate was melted. Pretty expensive for inedible food.
Melted tasteless,1.0,Most candies were melted and identifiable and tasteless. Won’t order again because it was bad it should have been cold when delivered.
Not Too Happy,1.0,"Pretty damn disappointed that my mom received this in the mail, from me today."
No gift options?,1.0,Need gift options so receiver can no who it is for
amazon made good on this failure,1.0,"Totally no good unacceptable quality; melted, poor visually, garbage."
